Epoch,Dice_Score,Accuracy,Precision,True_Positives,True_Negatives,False_Positives,False_Negatives
64,0.65737132183294,0.9985930784693304,0.5826157186203783,804066.0,165226199.0,99936.0,134631.0
65,0.6257627334861355,0.9986069757233625,0.5686591664481463,803639.0,165228943.0,97192.0,135058.0
66,0.7092938646730306,0.9986266490048582,0.5954657558750056,790981.0,165244881.0,81254.0,147716.0
67,0.6887967503067935,0.9985953516930154,0.5844721786630979,793254.0,165237390.0,88745.0,145443.0
68,0.7079938905066473,0.9985763621780107,0.5686562316222761,816054.0,165211424.0,114711.0,122643.0
69,0.6632313680412152,0.9986118940437365,0.567951073905207,796167.0,165237235.0,88900.0,142530.0
70,0.6606881572731633,0.998628706302283,0.5701121722681904,796361.0,165239844.0,86291.0,142336.0
71,0.6958498238624671,0.9986333427189281,0.5658170798289701,804032.0,165232946.0,93189.0,134665.0
72,0.6861051458591997,0.9986281784825355,0.5658580650511028,803568.0,165232549.0,93586.0,135129.0
73,0.6767868208458978,0.9986390407730199,0.5743462159386221,811094.0,165226834.0,99301.0,127603.0
74,0.6529850220098239,0.9986014995934829,0.5580405487954242,807434.0,165224235.0,101900.0,131263.0
75,0.6662303794652655,0.9985922046427457,0.5781660045280397,800267.0,165229857.0,96278.0,138430.0
76,0.6868916243290986,0.998617616089635,0.5796378910916407,793614.0,165240742.0,85393.0,145083.0
77,0.6782028463782506,0.998582438103058,0.5917727628593925,782096.0,165246395.0,79740.0,156601.0
78,0.7071076946139959,0.9985816223816302,0.5784300659437599,802967.0,165225388.0,100747.0,135730.0
79,0.6600313614690445,0.9986052783030384,0.5627404486045897,802455.0,165229844.0,96291.0,136242.0
80,0.6763673129843051,0.9985962513857668,0.5828142603800731,787678.0,165243116.0,83019.0,151019.0
81,0.6611619587721154,0.9986037368294578,0.5818110685678398,788549.0,165243493.0,82642.0,150148.0
82,0.649064500813063,0.998611144299777,0.5731840622874925,792807.0,165240470.0,85665.0,145890.0
83,0.6977373506422276,0.9986421417140361,0.5867245157934585,795476.0,165242969.0,83166.0,143221.0
84,0.6874397252558373,0.9986001980379693,0.5778266408908292,799720.0,165231732.0,94403.0,138977.0
85,0.6924863132828125,0.9986205250961976,0.5749217108735498,797476.0,165237365.0,88770.0,141221.0
86,0.6778918366644264,0.9986413739762217,0.5791618809947428,803119.0,165235198.0,90937.0,135578.0
87,0.6744846791602587,0.9986228361819525,0.5707827922683092,804844.0,165230387.0,95748.0,133853.0
88,0.6660701053205789,0.9986021773620222,0.5563844981480319,806297.0,165225485.0,100650.0,132400.0
89,0.6821692304088268,0.9986032090097103,0.5831854763270924,800660.0,165231294.0,94841.0,138037.0
90,0.6894439408605407,0.9986182338786576,0.5682509402808903,804826.0,165229633.0,96502.0,133871.0
91,0.683273303927453,0.9986243217996081,0.5698129758707382,805312.0,165230162.0,95973.0,133385.0
92,0.6690689705776265,0.9986335346533818,0.5694830802814016,795859.0,165241151.0,84984.0,142838.0
93,0.6795708911245814,0.9986078574222589,0.5798325323083866,787855.0,165244874.0,81261.0,150842.0
94,0.6550380204996313,0.9985876803128224,0.5397125520046402,816509.0,165212856.0,113279.0,122188.0
95,0.6808486490225705,0.9985952197380785,0.5676217302211426,800867.0,165229755.0,96380.0,137830.0
96,0.6478235937199374,0.9986269908881037,0.5682960614187162,804506.0,165231413.0,94722.0,134191.0
97,0.6925460809740172,0.9985917709158652,0.566602809998974,796072.0,165233975.0,92160.0,142625.0
98,0.6721941774411243,0.99862783659929,0.5775780162346438,796873.0,165239187.0,86948.0,141824.0
99,0.6681710317971652,0.9986146531015072,0.5669534196549991,800361.0,165233501.0,92634.0,138336.0
100,0.6509893872473353,0.9985940801272603,0.5743177035507167,794081.0,165236351.0,89784.0,144616.0
101,0.6576596714388542,0.9986010077614454,0.5534923727969704,806837.0,165224750.0,101385.0,131860.0
102,0.6541439931265333,0.9986272787897842,0.5548789482446587,810004.0,165225963.0,100172.0,128693.0
103,0.6506051247104546,0.9985967971993692,0.5566876928011576,805512.0,165225373.0,100762.0,133185.0
104,0.637432238491629,0.9986114262035058,0.5613628072230696,800521.0,165232803.0,93332.0,138176.0
105,0.6774635877784052,0.9986219466107447,0.5722732000380942,800145.0,165234933.0,91202.0,138552.0
106,0.6684788059328344,0.9986086551498317,0.5773916038327247,794721.0,165238141.0,87994.0,143976.0
107,0.6790723483940166,0.9986291021670936,0.5783064882241705,794942.0,165241329.0,84806.0,143755.0
108,0.6748905540947701,0.9986095848323414,0.5689309036019463,801656.0,165231361.0,94774.0,137041.0
109,0.6865160273303368,0.9986262531400477,0.5845674087978759,791087.0,165244709.0,81426.0,147610.0
110,0.6643002056374314,0.9986193375017658,0.5657791748361768,801825.0,165232818.0,93317.0,136872.0
111,0.6881212553855182,0.998595543627469,0.5821036453704415,779112.0,165251564.0,74571.0,159585.0
