Epoch,Dice_Score,Accuracy,Precision,True_Positives,True_Negatives,False_Positives,False_Negatives
1,0.3820058496223355,0.9970671560779307,0.38782114457081324,621706.0,165154676.0,171459.0,316991.0
2,0.5351742743246881,0.9980062508733017,0.48089139407160897,738793.0,165193634.0,132501.0,199904.0
3,0.5274741598755034,0.9979740598666593,0.4567719509344806,700279.0,165226781.0,99354.0,238418.0
4,0.6026944361924335,0.9983695947899008,0.5607435508812748,724473.0,165268532.0,57603.0,214224.0
5,0.5866924230596755,0.9982761107150864,0.5265346302551294,713658.0,165263761.0,62374.0,225039.0
6,0.47880617394269315,0.9981743494669596,0.4596656434056378,805694.0,165154766.0,171369.0,133003.0
7,0.5689785857292184,0.9983375897197604,0.5885670631186767,720076.0,165267593.0,58542.0,218621.0
8,0.6065911902564135,0.9983702185768751,0.5411926271780482,733669.0,165259440.0,66695.0,205028.0
9,0.6370087290872062,0.9984594141162416,0.5319016342924076,800980.0,165207000.0,119135.0,137717.0
10,0.6273564931441652,0.9985138275338419,0.5413110323203435,774030.0,165243022.0,83113.0,164667.0
11,0.6448061899798618,0.998567965045665,0.5366157640544873,814682.0,165211396.0,114739.0,124015.0
12,0.6901629785340333,0.9986039227659598,0.5561839361329498,799783.0,165232290.0,93845.0,138914.0
13,0.6374044427620129,0.9985515726437358,0.5417921519223249,789874.0,165233471.0,92664.0,148823.0
14,0.6937054595381631,0.9986034129400673,0.5441168574792035,822915.0,165209073.0,117062.0,115782.0
15,0.6389631062326095,0.9984548376791132,0.5849152645037609,758819.0,165248398.0,77737.0,179878.0
16,0.6281991407375737,0.9986033589585023,0.5718534354050204,792012.0,165239967.0,86168.0,146685.0
17,0.7036547229153518,0.9985995862468984,0.5697342727637891,800357.0,165230993.0,95142.0,138340.0
18,0.5991243255034229,0.9986136874312874,0.5566712498852292,779600.0,165254101.0,72034.0,159097.0
19,0.5905761285851701,0.9985856290133495,0.5394173531599764,781010.0,165248013.0,78122.0,157687.0
20,0.6930731578970349,0.9986395505989123,0.5747434894243876,791910.0,165246103.0,80032.0,146787.0
21,0.7082638021127858,0.9985589021406833,0.5730620213555839,775716.0,165248851.0,77284.0,162981.0
22,0.6863076557456023,0.9985432055011485,0.5996567097100072,761862.0,165260088.0,66047.0,176835.0
23,0.6681975262691895,0.9985397266891768,0.5349516557916155,805297.0,165216073.0,110062.0,133400.0
